,gender,customer type,age,type of travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,satisfaction,customer_age
22,Male,Loyal customer,55,Personal Travel,Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,Neutral or dissatisfied,Middle Adults
23,Male,Loyal customer,25,Business travel,Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,Satisfied,Youth
24,Female,Disloyal customer,30,Business travel,Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,Neutral or dissatisfied,Young Adults
25,Male,Loyal customer,62,Personal Travel,Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,Neutral or dissatisfied,Senior
26,Male,Loyal customer,24,Business travel,Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,Satisfied,Youth
27,Female,Loyal customer,22,Business travel,Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,Satisfied,Youth
28,Male,Loyal customer,44,Business travel,Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,Satisfied,Middle Adults
29,Male,Loyal customer,51,Business travel,Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,Neutral or dissatisfied,Middle Adults
30,Male,Loyal customer,43,Personal Travel,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,Neutral or dissatisfied,Middle Adults
31,Female,Loyal customer,56,Business travel,Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,Satisfied,Middle Adults
32,Male,Disloyal customer,41,Business travel,Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,Neutral or dissatisfied,Middle Adults
33,Male,Loyal customer,22,Personal Travel,Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,Neutral or dissatisfied,Youth
34,Female,Loyal customer,53,Business travel,Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,Satisfied,Middle Adults
35,Male,Loyal customer,12,Personal Travel,Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,Neutral or dissatisfied,Youth
36,Female,Loyal customer,39,Business travel,Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,Satisfied,Young Adults
37,Female,Loyal customer,55,Business travel,Business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,Satisfied,Middle Adults
38,Female,Disloyal customer,32,Business travel,Business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,Neutral or dissatisfied,Young Adults
39,Female,Loyal customer,40,Personal Travel,Eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,Neutral or dissatisfied,Young Adults
40,Female,Disloyal customer,42,Business travel,Business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,Neutral or dissatisfied,Middle Adults
41,Male,Disloyal customer,24,Business travel,Eco,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,Satisfied,Youth
42,Male,Loyal customer,22,Business travel,Business,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,Neutral or dissatisfied,Youth
43,Female,Loyal customer,28,Business travel,Business,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,Satisfied,Young Adults
44,Female,Loyal customer,36,Business travel,Eco Plus,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,Neutral or dissatisfied,Young Adults
45,Female,Loyal customer,62,Business travel,Eco,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,Satisfied,Senior
46,Female,Loyal customer,60,Business travel,Business,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,Satisfied,Middle Adults
47,Female,Loyal customer,59,Personal Travel,Eco,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,Neutral or dissatisfied,Middle Adults
48,Female,Loyal customer,49,Business travel,Business,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,Satisfied,Middle Adults
49,Female,Loyal customer,44,Personal Travel,Eco,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,Neutral or dissatisfied,Middle Adults
50,Female,Loyal customer,58,Personal Travel,Eco Plus,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,Neutral or dissatisfied,Middle Adults
51,Male,Disloyal customer,24,Business travel,Business,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,Satisfied,Youth
52,Female,Loyal customer,53,Business travel,Eco,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,Satisfied,Middle Adults
53,Male,Loyal customer,56,Business travel,Eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,Neutral or dissatisfied,Middle Adults
54,Female,Loyal customer,30,Business travel,Business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,Satisfied,Young Adults
55,Male,Disloyal customer,27,Business travel,Business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,Neutral or dissatisfied,Young Adults
56,Male,Loyal customer,27,Business travel,Business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,Satisfied,Young Adults
57,Female,Loyal customer,67,Personal Travel,Eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,Neutral or dissatisfied,Senior
58,Female,Loyal customer,32,Personal Travel,Eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,Neutral or dissatisfied,Young Adults
59,Male,Disloyal customer,36,Business travel,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,Neutral or dissatisfied,Young Adults
60,Male,Loyal customer,44,Business travel,Business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,Satisfied,Middle Adults
61,Female,Loyal customer,70,Personal Travel,Eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,Neutral or dissatisfied,Senior
62,Female,Loyal customer,55,Personal Travel,Eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,Neutral or dissatisfied,Middle Adults
63,Male,Loyal customer,66,Business travel,Eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,Satisfied,Senior
64,Female,Loyal customer,19,Business travel,Business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,Satisfied,Youth
65,Female,Loyal customer,53,Personal Travel,Eco Plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,Neutral or dissatisfied,Middle Adults
66,Male,Loyal customer,22,Business travel,Business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,Neutral or dissatisfied,Youth
67,Female,Loyal customer,69,Personal Travel,Eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,Neutral or dissatisfied,Senior
68,Female,Loyal customer,42,Business travel,Business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,Satisfied,Middle Adults
69,Female,Loyal customer,41,Business travel,Business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,Satisfied,Middle Adults
70,Female,Loyal customer,53,Personal Travel,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,Neutral or dissatisfied,Middle Adults
71,Male,Loyal customer,35,Business travel,Business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,Neutral or dissatisfied,Young Adults
72,Female,Loyal customer,54,Personal Travel,Business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,Neutral or dissatisfied,Middle Adults
73,Male,Loyal customer,44,Business travel,Business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,Satisfied,Middle Adults
74,Female,Disloyal customer,26,Business travel,Eco Plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,Neutral or dissatisfied,Young Adults
75,Female,Loyal customer,44,Personal Travel,Eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,Neutral or dissatisfied,Middle Adults
76,Female,Disloyal customer,24,Business travel,Eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,Neutral or dissatisfied,Youth
77,Female,Loyal customer,54,Personal Travel,Eco,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,Neutral or dissatisfied,Middle Adults
78,Male,Loyal customer,42,Business travel,Eco Plus,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,Neutral or dissatisfied,Middle Adults
79,Male,Disloyal customer,36,Business travel,Eco,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,Neutral or dissatisfied,Young Adults
80,Female,Loyal customer,61,Business travel,Business,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,Satisfied,Senior
81,Female,Loyal customer,50,Personal Travel,Eco,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,Neutral or dissatisfied,Middle Adults
82,Male,Loyal customer,27,Business travel,Business,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,Satisfied,Young Adults
83,Male,Loyal customer,55,Business travel,Business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,Neutral or dissatisfied,Middle Adults
84,Male,Disloyal customer,21,Business travel,Eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,Neutral or dissatisfied,Youth
85,Female,Loyal customer,31,Personal Travel,Business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,Neutral or dissatisfied,Young Adults
86,Female,Disloyal customer,37,Business travel,Eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,Neutral or dissatisfied,Young Adults
87,Female,Loyal customer,50,Business travel,Business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,Satisfied,Middle Adults
88,Female,Loyal customer,21,Personal Travel,Eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,Neutral or dissatisfied,Youth
89,Female,Loyal customer,53,Business travel,Eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,Neutral or dissatisfied,Middle Adults
90,Male,Loyal customer,45,Business travel,Business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,Satisfied,Middle Adults
91,Female,Disloyal customer,42,Business travel,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,Neutral or dissatisfied,Middle Adults
92,Male,Loyal customer,59,Business travel,Business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,Satisfied,Middle Adults
93,Female,Loyal customer,54,Business travel,Eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,Neutral or dissatisfied,Middle Adults
94,Female,Loyal customer,46,Business travel,Business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,Satisfied,Middle Adults
95,Female,Loyal customer,52,Personal Travel,Eco Plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,Neutral or dissatisfied,Middle Adults
96,Female,Loyal customer,38,Personal Travel,Eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,Neutral or dissatisfied,Young Adults
97,Male,Loyal customer,35,Business travel,Business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,Satisfied,Young Adults
98,Female,Loyal customer,41,Personal Travel,Eco,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,Neutral or dissatisfied,Middle Adults
99,Female,Disloyal customer,40,Business travel,Business,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,Neutral or dissatisfied,Young Adults
100,Female,Disloyal customer,36,Business travel,Eco,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,Neutral or dissatisfied,Young Adults
101,Male,Loyal customer,67,Personal Travel,Eco,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,Neutral or dissatisfied,Senior
102,Female,Loyal customer,38,Personal Travel,Eco,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,Satisfied,Young Adults
103,Female,Loyal customer,50,Personal Travel,Eco,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,Neutral or dissatisfied,Middle Adults
104,Male,Loyal customer,50,Business travel,Business,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,Satisfied,Middle Adults
105,Male,Loyal customer,54,Business travel,Business,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,Satisfied,Middle Adults
106,Male,Loyal customer,56,Business travel,Business,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,Satisfied,Middle Adults
107,Male,Loyal customer,38,Personal Travel,Eco,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,Neutral or dissatisfied,Young Adults
108,Female,Loyal customer,7,Personal Travel,Eco,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,Neutral or dissatisfied,Youth
109,Female,Loyal customer,32,Business travel,Business,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,Satisfied,Young Adults
110,Male,Loyal customer,45,Business travel,Eco,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,Neutral or dissatisfied,Middle Adults
111,Male,Disloyal customer,25,Business travel,Eco,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,Neutral or dissatisfied,Youth
112,Female,Loyal customer,45,Business travel,Business,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,Satisfied,Middle Adults
113,Male,Loyal customer,34,Personal Travel,Eco,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,Neutral or dissatisfied,Young Adults
114,Male,Loyal customer,20,Personal Travel,Eco Plus,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,Neutral or dissatisfied,Youth
115,Female,Disloyal customer,36,Business travel,Eco,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,Neutral or dissatisfied,Young Adults
116,Male,Disloyal customer,36,Business travel,Eco,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,Neutral or dissatisfied,Young Adults
117,Male,Loyal customer,27,Business travel,Business,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,Satisfied,Young Adults
118,Male,Loyal customer,40,Personal Travel,Eco,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,Neutral or dissatisfied,Young Adults
119,Male,Loyal customer,31,Business travel,Business,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,Satisfied,Young Adults
120,Male,Loyal customer,25,Business travel,Eco Plus,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,Satisfied,Youth
121,Male,Loyal customer,42,Business travel,Business,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,Satisfied,Middle Adults
122,Female,Loyal customer,45,Business travel,Eco,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,Satisfied,Middle Adults
123,Male,Loyal customer,59,Personal Travel,Business,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,Neutral or dissatisfied,Middle Adults
124,Male,Loyal customer,34,Personal Travel,Eco,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,Neutral or dissatisfied,Young Adults
125,Female,Loyal customer,22,Personal Travel,Eco,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,Neutral or dissatisfied,Youth
126,Male,Loyal customer,21,Personal Travel,Eco,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,Neutral or dissatisfied,Youth
127,Male,Loyal customer,26,Business travel,Business,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,Neutral or dissatisfied,Young Adults
128,Male,Loyal customer,37,Business travel,Business,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,Satisfied,Young Adults
129,Male,Loyal customer,38,Business travel,Business,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,Satisfied,Young Adults
130,Female,Loyal customer,17,Personal Travel,Eco,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,Neutral or dissatisfied,Youth
131,Male,Loyal customer,15,Personal Travel,Eco Plus,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,Neutral or dissatisfied,Youth
132,Female,Loyal customer,53,Personal Travel,Eco,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,Neutral or dissatisfied,Middle Adults
133,Male,Disloyal customer,39,Business travel,Business,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,Neutral or dissatisfied,Young Adults
134,Male,Loyal customer,40,Business travel,Business,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,Satisfied,Young Adults
135,Female,Disloyal customer,28,Business travel,Eco Plus,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,Neutral or dissatisfied,Young Adults
136,Female,Disloyal customer,27,Business travel,Business,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,Neutral or dissatisfied,Young Adults
137,Female,Loyal customer,41,Business travel,Business,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,Satisfied,Middle Adults
138,Female,Loyal customer,7,Personal Travel,Eco,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,Neutral or dissatisfied,Youth
139,Male,Disloyal customer,48,Business travel,Business,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,Neutral or dissatisfied,Middle Adults
140,Male,Loyal customer,13,Business travel,Eco,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,Neutral or dissatisfied,Youth
141,Female,Loyal customer,48,Business travel,Business,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,Satisfied,Middle Adults
142,Female,Loyal customer,49,Personal Travel,Eco,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,Neutral or dissatisfied,Middle Adults
143,Male,Disloyal customer,26,Business travel,Business,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,Satisfied,Young Adults
144,Male,Loyal customer,22,Business travel,Business,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,Satisfied,Youth
145,Female,Loyal customer,53,Business travel,Business,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,Neutral or dissatisfied,Middle Adults
146,Female,Loyal customer,43,Business travel,Eco,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,Satisfied,Middle Adults
147,Male,Loyal customer,56,Business travel,Business,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,Satisfied,Middle Adults
148,Female,Loyal customer,69,Personal Travel,Eco,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,Neutral or dissatisfied,Senior
149,Male,Loyal customer,59,Personal Travel,Eco,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,Satisfied,Middle Adults
150,Female,Loyal customer,56,Business travel,Business,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,Satisfied,Middle Adults
151,Male,Loyal customer,11,Personal Travel,Eco,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,Satisfied,Youth
152,Female,Loyal customer,25,Business travel,Eco,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,Satisfied,Youth
153,Female,Disloyal customer,29,Business travel,Eco,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,Satisfied,Young Adults
154,Female,Loyal customer,48,Business travel,Eco,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,Satisfied,Middle Adults
155,Female,Loyal customer,42,Business travel,Business,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,Satisfied,Middle Adults
156,Male,Disloyal customer,15,Business travel,Eco,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,Neutral or dissatisfied,Youth
157,Female,Disloyal customer,49,Business travel,Business,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,Neutral or dissatisfied,Middle Adults
158,Male,Loyal customer,41,Business travel,Business,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,Satisfied,Middle Adults
159,Male,Loyal customer,43,Business travel,Business,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,Satisfied,Middle Adults
160,Male,Loyal customer,60,Business travel,Business,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,Satisfied,Middle Adults
161,Female,Loyal customer,42,Personal Travel,Eco,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,Satisfied,Middle Adults
162,Female,Loyal customer,8,Personal Travel,Eco,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,Neutral or dissatisfied,Youth
163,Female,Loyal customer,42,Business travel,Eco,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,Satisfied,Middle Adults
164,Male,Disloyal customer,18,Business travel,Eco Plus,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,Neutral or dissatisfied,Youth
165,Male,Loyal customer,47,Business travel,Business,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,Satisfied,Middle Adults
166,Female,Disloyal customer,27,Business travel,Eco,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,Neutral or dissatisfied,Young Adults
167,Female,Loyal customer,67,Personal Travel,Eco Plus,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,Neutral or dissatisfied,Senior
168,Male,Disloyal customer,38,Business travel,Business,641,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,Satisfied,Young Adults
169,Female,Disloyal customer,20,Business travel,Eco,471,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,Neutral or dissatisfied,Youth
170,Female,Loyal customer,60,Business travel,Business,3823,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,Satisfied,Middle Adults
171,Male,Disloyal customer,23,Business travel,Business,282,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,Satisfied,Youth
172,Male,Disloyal customer,25,Business travel,Business,544,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,Neutral or dissatisfied,Youth
173,Female,Loyal customer,38,Business travel,Business,2955,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,Satisfied,Young Adults
174,Female,Loyal customer,40,Business travel,Business,2806,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,Satisfied,Young Adults
175,Male,Loyal customer,19,Personal Travel,Eco,587,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,Neutral or dissatisfied,Youth
176,Female,Loyal customer,61,Business travel,Business,2073,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,Satisfied,Senior
177,Male,Loyal customer,44,Personal Travel,Eco,1249,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,Neutral or dissatisfied,Middle Adults
178,Female,Loyal customer,22,Personal Travel,Eco,284,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,Neutral or dissatisfied,Youth
179,Female,Disloyal customer,8,Business travel,Eco,946,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,Neutral or dissatisfied,Youth
180,Female,Loyal customer,45,Business travel,Business,3947,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,Neutral or dissatisfied,Middle Adults
181,Male,Loyal customer,46,Personal Travel,Eco,895,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,Satisfied,Middle Adults
182,Female,Loyal customer,54,Business travel,Business,1634,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,Neutral or dissatisfied,Middle Adults
183,Male,Loyal customer,62,Personal Travel,Eco,588,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,Neutral or dissatisfied,Senior
184,Female,Loyal customer,25,Business travel,Business,2533,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,Satisfied,Youth
185,Female,Loyal customer,32,Personal Travel,Eco,641,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,Neutral or dissatisfied,Young Adults
186,Female,Loyal customer,65,Personal Travel,Eco,581,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,Neutral or dissatisfied,Senior
